Signal Type,Msg,Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
BCI,msg,28906.563238627,-187500.02235174447,-187500.02235174447,-159827.19925966256,-142190.44353848023,-147457.6097676289,-147314.98328625958,-145019.0791510438,-122191.91309117236
BCI,msg,28906.567241894,-187500.02235174447,-187500.02235174447,-159664.65737398356,-141996.25158265253,-147219.54133743542,-147191.33343593281,-144954.57201654578,-122106.99881398665
BCI,msg,28906.571223393,-187500.02235174447,-187500.02235174447,-159727.42107241406,-142084.00453138407,-147317.19610896066,-147251.19140758412,-144998.2696769559,-122126.10955549593
BCI,msg,28906.575210033,-187500.02235174447,-187500.02235174447,-159883.4362487121,-142270.44043188577,-147546.1226756719,-147368.9851008636,-145058.97701489652,-122209.90624545889
BCI,msg,28906.579261742,-187500.02235174447,-187500.02235174447,-159856.86002455474,-142227.5250825316,-147499.7651576716,-147339.4807981826,-145035.17240705164,-122209.43685882531
BCI,msg,28906.584174964,-187500.02235174447,-187500.02235174447,-159691.68063303002,-142026.09116150037,-147253.87361691878,-147211.29354373142,-144966.79842076285,-122127.78593633008
BCI,msg,28906.587218472,-187500.02235174447,-187500.02235174447,-159702.0071389684,-142051.50509494604,-147274.5713322844,-147231.20894804108,-144989.44073789608,-122118.68877633677
BCI,msg,28906.591202602,-187500.02235174447,-187500.02235174447,-159876.41780095315,-142262.10323120395,-147529.94001268627,-147366.43700199568,-145064.02850914342,-122210.62150128145
BCI,msg,28906.596342304,-187500.02235174447,-187500.02235174447,-159882.16219927816,-142259.82335326952,-147533.73980924368,-147361.51961821553,-145051.66799445963,-122224.30076888809
BCI,msg,28906.60103539,-187500.02235174447,-187500.02235174447,-159722.16841246706,-142062.01041484004,-147295.44786160564,-147233.73469516454,-144978.98012149098,-122147.56723017302
BCI,msg,28906.603165492,-187500.02235174447,-187500.02235174447,-159679.65539451307,-142023.38660042128,-147239.4567417451,-147211.98644780953,-144977.5719615903,-122111.46916287771
BCI,msg,28906.60819922,-187500.02235174447,-187500.02235174447,-159852.21086170804,-142235.3258413465,-147495.45127099173,-147347.10274304185,-145052.2938433044,-122196.27168134114
BCI,msg,28906.612687489,-187500.02235174447,-187500.02235174447,-159895.61794944026,-142279.22466745673,-147554.86220775393,-147372.56137997645,-145057.5465032514,-122229.41931836837
BCI,msg,28906.615465025,-187500.02235174447,-187500.02235174447,-159754.6007936717,-142101.52829903702,-147342.56533891743,-147257.22637858707,-144989.79836580734,-122165.96271585974
BCI,msg,28906.618241252,-187500.02235174447,-187500.02235174447,-159668.3901153076,-142007.69567581365,-147219.69779964662,-147200.9446860486,-144969.8159062643,-122110.79861054405
BCI,msg,28906.623209166,-187500.02235174447,-187500.02235174447,-159828.36155037422,-142207.36380903292,-147458.36972694038,-147329.24369922208,-145043.2413868,-122185.18521609131
BCI,msg,28906.627194196,-187500.02235174447,-187500.02235174447,-159907.91140889068,-142296.01082754266,-147571.20133295076,-147384.3854527933,-145066.37544231123,-122236.77304229415
BCI,msg,28906.631260921,-187500.02235174447,-187500.02235174447,-159789.29070106635,-142143.92955826875,-147392.32032207493,-147283.93671321115,-145003.6787991141,-122185.65460272487
BCI,msg,28906.635273303,-187500.02235174447,-187500.02235174447,-159665.86436818415,-142002.62182982228,-147213.97575306604,-147196.4519854131,-144964.8091155063,-122114.64311059036
BCI,msg,28906.640157857,-187500.02235174447,-187500.02235174447,-159805.00397741844,-142179.13355578584,-147422.07049394495,-147311.65287633575,-145035.5747384518,-122176.87036715394
BCI,msg,28906.643212675,-187500.02235174447,-187500.02235174447,-159920.13781310772,-142312.10408355048,-147588.45687967027,-147395.22604885412,-145075.83023021583,-122245.69138833182
BCI,msg,28906.646261914,-187500.02235174447,-187500.02235174447,-159833.94948648804,-142197.6631519393,-147456.67099436178,-147318.73837932808,-145025.71761914704,-122213.3931175939
BCI,msg,28906.65127578,-187500.02235174447,-187500.02235174447,-159680.57181603575,-142017.73160907408,-147234.91933762067,-147204.252744228,-144968.13952543016,-122129.61877937542
BCI,msg,28906.655223391,-187500.02235174447,-187500.02235174447,-159782.33930854074,-142151.48444789465,-147390.1298511183,-147292.09509993735,-145025.58350868028,-122169.42723625033
BCI,msg,28906.659271593,-187500.02235174447,-187500.02235174447,-159927.78210971144,-142322.56469995555,-147602.337312977,-147400.0540256565,-145080.23352387352,-122250.94404827882
BCI,msg,28906.663235605,-187500.02235174447,-187500.02235174447,-159872.2827282289,-142245.09355367348,-147515.83606193497,-147346.96863257512,-145041.56500596585,-122234.4484608708
BCI,msg,28906.667220405,-187500.02235174447,-187500.02235174447,-159705.0022727254,-142044.3301849759,-147269.78805897094,-147219.78720662443,-144975.9626359895,-122149.60123891846
BCI,msg,28906.670256129,-187500.02235174447,-187500.02235174447,-159755.9642500835,-142118.8956044788,-147351.61779542183,-147269.8104107154,-145013.33475271877,-122160.55359370157
BCI,msg,28906.674299977,-187500.02235174447,-187500.02235174447,-159923.244705587,-142318.83195863152,-147596.16823150733,-147396.9471331772,-145080.63585527372,-122250.22879245626
BCI,msg,28906.678284793,-187500.02235174447,-187500.02235174447,-159900.62474019823,-142281.12456573543,-147557.05267871055,-147369.8791706418,-145056.65243347318,-122250.608772112
BCI,msg,28906.68321886,-187500.02235174447,-187500.02235174447,-159726.83992705823,-142069.31943527694,-147299.87350700778,-147234.31584052037,-144982.84697328176,-122165.336867015
BCI,msg,28906.687253222,-187500.02235174447,-187500.02235174447,-159725.99056076893,-142081.6352464718,-147305.50614661054,-147244.93291913666,-144999.25315371194,-122149.10950054045
BCI,msg,28906.691327332,-187500.02235174447,-187500.02235174447,-159904.2010193111,-142297.41898744335,-147568.04973698256,-147381.8373539254,-145072.61157901425,-122238.42707138385
BCI,msg,28906.694339717,-187500.02235174447,-187500.02235174447,-159915.57805723883,-142301.2858392341,-147579.31501618805,-147381.524429503,-145063.02268064293,-122254.81090006958
BCI,msg,28906.698337374,-187500.02235174447,-187500.02235174447,-159748.8563953467,-142094.71101697817,-147330.2271759781,-147248.64330871621,-144988.3231506733,-122176.17746307582
BCI,msg,28906.702483619,-187500.02235174447,-187500.02235174447,-159696.77683076583,-142044.26312974253,-147259.03686988793,-147219.45193045758,-144983.83045003779,-122135.05025327805
BCI,msg,28906.707318315,-187500.02235174447,-187500.02235174447,-159876.64131839768,-142264.80779228304,-147524.1732626168,-147360.35732750385,-145062.82151494283,-122221.17152466436
BCI,msg,28906.711400127,-187500.02235174447,-187500.02235174447,-159921.85889743076,-142310.7406271387,-147585.5288011466,-147387.0453103835,-145068.3423958233,-122252.46396690178
BCI,msg,28906.71538094,-187500.02235174447,-187500.02235174447,-159769.0176688454,-142118.58268005642,-147355.90933035724,-147261.83083794484,-144994.1346042317,-122181.07249511153
BCI,msg,28906.7194625,-187500.02235174447,-187500.02235174447,-159665.73025771743,-142004.74524554555,-147209.61716289725,-147190.9534562771,-144964.07150793928,-122113.88315127887
BCI,msg,28906.72393232,-187500.02235174447,-187500.02235174447,-159828.9203439856,-142208.63785846686,-147452.82649431546,-147320.70533284012,-145037.94402336408,-122185.29697481358
BCI,msg,28906.726465001,-187500.02235174447,-187500.02235174447,-159909.38662402472,-142298.55892641057,-147567.17801894882,-147375.15418233327,-145059.11112536327,-122232.16858293637
